month,scenario,active_members_end,revenue,ebitda_proxy,ending_cash
1,Low,8,2080,-60585,1114415
2,Low,16,4160,-59670,1054745
3,Low,24,6240,-58754,995991
4,Low,33,8580,-57725,938266
5,Low,43,11180,-56581,881685
6,Low,53,13780,-55437,826248
7,Low,64,16640,-68178,748070
8,Low,75,19500,-66920,681150
9,Low,87,22620,-65547,615603
10,Low,100,26000,-64060,551543
11,Low,113,29380,-62573,488970
12,Low,126,32760,-61086,427884
13,Low,140,36400,-75892,341992
14,Low,154,40040,-74181,267811
15,Low,169,43940,-72348,195463
16,Low,184,47840,-70515,124948
17,Low,200,52000,-68560,56388
18,Low,216,56160,-66605,-10217
19,Low,232,60320,-76650,-86867
20,Low,249,64740,-74572,-161439
21,Low,266,69160,-72495,-233934
22,Low,283,73580,-70417,-304351
23,Low,301,78260,-68218,-372569
24,Low,319,82940,-66018,-438587
1,Base,12,3600,-68272,1096728
2,Base,25,7500,-66400,1030328
3,Base,40,12000,-64240,966088
4,Base,58,17400,-61648,904440
5,Base,79,23700,-58624,845816
6,Base,103,30900,-55168,790648
7,Base,130,39000,-69280,706368
8,Base,160,48000,-64960,641408
9,Base,193,57900,-60208,581200
10,Base,230,69000,-54880,526320
11,Base,270,81000,-49120,477200
12,Base,315,94500,-42640,434560
13,Base,365,109500,-55060,359500
14,Base,420,126000,-46480,313020
15,Base,480,144000,-37120,275900
16,Base,545,163500,-26980,248920
17,Base,615,184500,-16060,232860
18,Base,690,207000,-4360,228500
19,Base,770,231000,-6880,221620
20,Base,855,256500,6380,228000
21,Base,945,283500,20420,248420
22,Base,1040,312000,35240,283660
23,Base,1140,342000,50840,334500
24,Base,1245,373500,67220,401720
1,High,20,7200,-76756,1078244
2,High,40,14400,-73012,1005232
3,High,64,23040,-68519,936713
4,High,93,33480,-63090,873623
5,High,126,45360,-56913,816710
6,High,164,59040,-49799,766911
7,High,206,74160,-64937,681974
8,High,252,90720,-56826,625148
9,High,302,108720,-47466,577682
10,High,357,128520,-37170,540512
11,High,416,149760,-26125,514387
12,High,479,172440,-14331,500056
13,High,545,196200,-23628,451428
14,High,615,221400,-9516,441912
15,High,689,248040,5402,447314
16,High,767,276120,21127,468441
17,High,848,305280,37457,505898
18,High,933,335880,54593,560491
19,High,1021,367560,55334,615825
20,High,1113,400680,73381,689206
21,High,1208,434880,92533,781739
22,High,1306,470160,112290,894029
23,High,1407,506520,132651,1026680
24,High,1512,544320,153819,1180499
